Snoring Rate,Respiratory Rate,Body Temperature,Limb Movement,Blood Oxygen,Eye Movement,Sleep Hours,Heart Rate,Stress Level
6.0,22.0,97.5,3.0,95.0,0.0,9.2,86.0,1.0
7.0,20.0,98.6,1.0,99.0,1.0,6.5,79.0,1.0
5.0,13.0,97.2,3.0,99.0,0.0,8.8,76.0,1.0
3.0,21.0,98.0,10.0,90.0,1.0,7.6,87.0,1.0
2.0,18.0,98.9,2.0,98.0,0.0,9.1,96.0,1.0
7.0,13.0,98.4,8.0,90.0,1.0,5.9,86.0,0.0
4.0,18.0,97.5,4.0,97.0,0.0,9.8,61.0,1.0
7.0,13.0,97.0,8.0,90.0,0.0,6.2,79.0,0.0
2.0,21.0,97.2,5.0,99.0,0.0,10.0,87.0,0.0
9.0,23.0,97.8,3.0,92.0,1.0,8.4,67.0,1.0
1.0,24.0,98.8,2.0,94.0,0.0,5.7,71.0,1.0
1.0,16.0,98.6,5.0,95.0,1.0,7.9,73.0,1.0
8.0,12.0,97.8,8.0,94.0,1.0,8.5,90.0,1.0
10.0,16.0,98.4,3.0,100.0,1.0,6.5,62.0,1.0
0.0,21.0,97.2,1.0,91.0,0.0,4.1,68.0,0.0
1.0,16.0,98.7,7.0,95.0,0.0,5.5,70.0,0.0
5.0,17.0,98.5,0.0,100.0,0.0,4.8,91.0,1.0
0.0,25.0,98.4,8.0,96.0,1.0,8.1,98.0,0.0
2.0,13.0,98.3,0.0,96.0,1.0,5.0,90.0,0.0
10.0,15.0,98.8,9.0,90.0,0.0,6.3,97.0,0.0
7.0,12.0,97.4,6.0,98.0,0.0,8.2,64.0,1.0
0.0,22.0,97.8,8.0,95.0,1.0,4.5,67.0,1.0
9.0,20.0,97.4,9.0,97.0,1.0,7.7,72.0,0.0
5.0,19.0,98.0,10.0,92.0,1.0,6.2,80.0,1.0
8.0,22.0,98.0,9.0,90.0,1.0,4.9,68.0,0.0
5.0,25.0,98.3,3.0,91.0,0.0,9.5,73.0,0.0
5.0,21.0,97.6,2.0,97.0,1.0,7.3,78.0,0.0
0.0,15.0,97.0,2.0,92.0,1.0,9.6,60.0,0.0
4.0,24.0,98.0,10.0,98.0,1.0,8.6,84.0,1.0
4.0,19.0,98.4,8.0,90.0,1.0,7.7,75.0,1.0
3.0,19.0,97.2,1.0,100.0,0.0,9.9,85.0,0.0
4.0,22.0,98.8,0.0,90.0,1.0,9.4,78.0,0.0
3.0,16.0,97.4,6.0,93.0,1.0,9.8,85.0,1.0
2.0,17.0,97.9,2.0,97.0,0.0,8.0,91.0,1.0
4.0,24.0,97.6,5.0,96.0,0.0,9.9,70.0,1.0
4.0,22.0,97.3,1.0,95.0,0.0,8.0,67.0,0.0
0.0,12.0,97.7,6.0,100.0,1.0,5.1,78.0,1.0
6.0,20.0,98.3,1.0,95.0,0.0,7.0,99.0,1.0
2.0,12.0,97.0,7.0,100.0,1.0,8.3,93.0,1.0
2.0,13.0,98.0,2.0,91.0,1.0,6.8,73.0,1.0
10.0,22.0,98.3,2.0,90.0,1.0,8.7,97.0,0.0
3.0,13.0,97.7,9.0,100.0,0.0,7.7,88.0,1.0
0.0,15.0,98.4,0.0,91.0,1.0,8.0,61.0,0.0
8.0,12.0,98.8,5.0,97.0,1.0,9.8,82.0,0.0
9.0,13.0,98.8,6.0,92.0,0.0,9.3,78.0,1.0
10.0,17.0,97.0,4.0,98.0,1.0,9.9,92.0,1.0
4.0,21.0,99.0,4.0,99.0,1.0,7.6,80.0,0.0
5.0,13.0,97.3,2.0,96.0,1.0,4.5,67.0,0.0
5.0,13.0,97.1,3.0,92.0,1.0,6.1,68.0,1.0
1.0,12.0,97.2,5.0,98.0,1.0,9.5,68.0,0.0
5.0,15.0,98.0,9.0,94.0,0.0,7.3,95.0,1.0
8.0,18.0,98.4,6.0,92.0,1.0,5.2,60.0,0.0
6.0,16.0,97.4,8.0,94.0,0.0,5.4,65.0,0.0
9.0,24.0,97.2,1.0,96.0,1.0,4.8,99.0,1.0
7.0,12.0,99.0,8.0,91.0,0.0,4.2,69.0,0.0
3.0,22.0,97.9,10.0,95.0,0.0,9.6,81.0,1.0
6.0,21.0,97.3,9.0,92.0,1.0,6.8,98.0,1.0
3.0,18.0,98.0,2.0,98.0,0.0,5.0,63.0,1.0
3.0,20.0,98.7,1.0,94.0,1.0,5.9,99.0,1.0
8.0,18.0,97.0,9.0,93.0,1.0,4.1,97.0,1.0
9.0,12.0,97.9,8.0,99.0,0.0,4.7,71.0,1.0
8.0,16.0,98.8,10.0,91.0,0.0,7.7,67.0,0.0
6.0,18.0,97.7,1.0,93.0,0.0,5.5,78.0,0.0
7.0,23.0,97.3,3.0,94.0,1.0,9.0,89.0,1.0
10.0,15.0,98.9,3.0,99.0,0.0,5.4,62.0,1.0
5.0,17.0,98.6,10.0,90.0,0.0,5.7,73.0,0.0
2.0,22.0,97.9,7.0,95.0,1.0,5.8,67.0,0.0
5.0,12.0,97.3,0.0,91.0,1.0,4.2,92.0,0.0
2.0,20.0,97.5,7.0,93.0,1.0,6.3,68.0,0.0
3.0,25.0,98.9,5.0,96.0,0.0,8.5,66.0,0.0
6.0,16.0,97.0,6.0,93.0,0.0,4.1,77.0,1.0
8.0,24.0,97.9,0.0,91.0,1.0,8.8,67.0,0.0
4.0,19.0,97.2,2.0,96.0,0.0,7.9,78.0,1.0
0.0,13.0,97.2,10.0,92.0,1.0,6.4,68.0,1.0
4.0,14.0,97.1,6.0,94.0,0.0,5.8,95.0,1.0
9.0,12.0,97.8,8.0,97.0,0.0,9.0,100.0,1.0
8.0,22.0,97.1,0.0,92.0,1.0,8.0,60.0,0.0
4.0,19.0,98.1,10.0,93.0,0.0,5.0,99.0,0.0
8.0,13.0,97.6,9.0,99.0,1.0,7.2,88.0,0.0
9.0,16.0,97.9,10.0,91.0,1.0,6.5,82.0,0.0
2.0,18.0,97.7,9.0,90.0,0.0,7.7,76.0,0.0
6.0,14.0,97.7,0.0,92.0,1.0,5.1,99.0,1.0
7.0,25.0,98.7,10.0,94.0,1.0,6.0,98.0,0.0
3.0,17.0,98.9,8.0,98.0,0.0,5.7,99.0,1.0
1.0,25.0,98.6,5.0,99.0,1.0,8.5,91.0,0.0
6.0,19.0,98.6,9.0,95.0,1.0,5.6,91.0,1.0
0.0,15.0,98.4,7.0,100.0,1.0,4.0,71.0,0.0
9.0,22.0,98.8,4.0,91.0,1.0,8.9,80.0,0.0
10.0,15.0,98.8,4.0,100.0,1.0,8.8,73.0,1.0
2.0,14.0,97.8,2.0,91.0,0.0,8.9,69.0,0.0
3.0,23.0,97.5,8.0,97.0,0.0,9.5,61.0,0.0
10.0,14.0,98.2,10.0,97.0,0.0,8.2,62.0,1.0
1.0,20.0,99.0,6.0,100.0,0.0,4.7,84.0,0.0
1.0,15.0,98.3,3.0,98.0,1.0,5.7,73.0,1.0
8.0,21.0,98.4,2.0,99.0,1.0,8.3,86.0,1.0
1.0,18.0,98.4,4.0,98.0,0.0,4.6,77.0,0.0
3.0,16.0,98.3,6.0,94.0,1.0,5.9,86.0,0.0
4.0,18.0,98.0,7.0,99.0,1.0,5.8,95.0,0.0
7.0,16.0,97.8,1.0,100.0,1.0,8.8,68.0,1.0
9.0,19.0,98.2,9.0,99.0,0.0,9.7,75.0,1.0
7.0,23.0,98.4,1.0,91.0,1.0,4.0,90.0,0.0
7.0,13.0,97.5,0.0,97.0,0.0,5.6,98.0,1.0
6.0,13.0,98.7,4.0,98.0,0.0,6.4,70.0,1.0
1.0,13.0,99.0,3.0,98.0,0.0,5.1,96.0,1.0
7.0,20.0,97.3,8.0,92.0,1.0,5.4,83.0,1.0
6.0,17.0,98.9,6.0,91.0,0.0,5.4,99.0,0.0
2.0,12.0,98.5,3.0,95.0,0.0,5.3,94.0,0.0
5.0,21.0,99.0,5.0,97.0,1.0,8.4,93.0,1.0
0.0,23.0,98.5,2.0,92.0,1.0,6.0,87.0,0.0
5.0,16.0,98.3,0.0,96.0,0.0,4.0,68.0,0.0
4.0,18.0,98.9,4.0,92.0,0.0,5.6,93.0,0.0
1.0,17.0,97.4,2.0,94.0,0.0,7.1,84.0,1.0
9.0,15.0,97.4,0.0,95.0,1.0,5.6,81.0,1.0
8.0,22.0,98.4,8.0,97.0,0.0,8.4,96.0,1.0
9.0,18.0,98.8,1.0,93.0,1.0,9.8,98.0,1.0
9.0,12.0,97.9,1.0,96.0,0.0,5.1,97.0,1.0
4.0,15.0,98.0,1.0,93.0,1.0,8.9,81.0,1.0
7.0,20.0,98.2,2.0,97.0,1.0,4.8,80.0,0.0
10.0,23.0,98.7,1.0,98.0,0.0,8.2,67.0,0.0
10.0,19.0,97.8,10.0,95.0,0.0,9.6,69.0,0.0
0.0,14.0,98.8,10.0,99.0,1.0,6.7,66.0,1.0
10.0,19.0,97.2,4.0,99.0,1.0,5.8,61.0,1.0
9.0,14.0,98.5,6.0,92.0,1.0,9.8,79.0,0.0
1.0,21.0,98.3,10.0,91.0,0.0,4.5,82.0,1.0
10.0,22.0,97.7,3.0,95.0,0.0,4.7,97.0,0.0
7.0,18.0,97.1,1.0,95.0,0.0,4.6,80.0,0.0
5.0,18.0,97.7,1.0,92.0,1.0,8.9,61.0,1.0
2.0,23.0,97.8,8.0,92.0,1.0,5.2,66.0,1.0
5.0,15.0,98.5,2.0,94.0,1.0,8.7,76.0,0.0
2.0,16.0,98.7,10.0,90.0,1.0,9.3,65.0,1.0
0.0,21.0,98.0,6.0,99.0,0.0,7.7,96.0,1.0
3.0,12.0,98.4,8.0,93.0,1.0,6.1,60.0,0.0
8.0,14.0,98.2,8.0,92.0,0.0,7.4,82.0,0.0
5.0,21.0,97.5,2.0,93.0,0.0,7.4,97.0,0.0
6.0,25.0,98.7,0.0,96.0,0.0,8.0,77.0,1.0
1.0,17.0,97.8,3.0,93.0,0.0,8.7,80.0,0.0
8.0,17.0,97.8,6.0,90.0,0.0,4.1,81.0,0.0
0.0,25.0,97.5,8.0,94.0,1.0,6.1,66.0,0.0
2.0,23.0,97.5,9.0,97.0,0.0,9.4,80.0,0.0
7.0,25.0,98.4,5.0,97.0,1.0,9.4,89.0,0.0
2.0,21.0,97.5,7.0,94.0,0.0,8.1,80.0,1.0
8.0,16.0,97.3,9.0,96.0,1.0,5.0,70.0,0.0
8.0,24.0,97.0,10.0,96.0,1.0,6.5,91.0,0.0
4.0,19.0,98.5,2.0,93.0,0.0,4.1,98.0,1.0
2.0,23.0,98.8,2.0,98.0,1.0,5.4,61.0,1.0
2.0,12.0,98.3,2.0,93.0,0.0,10.0,78.0,1.0
0.0,23.0,98.0,0.0,96.0,1.0,4.4,70.0,1.0
6.0,13.0,98.7,10.0,91.0,1.0,7.8,68.0,0.0
6.0,18.0,98.2,5.0,91.0,0.0,9.9,73.0,1.0
2.0,18.0,98.8,0.0,92.0,1.0,8.8,99.0,1.0
7.0,24.0,98.3,10.0,94.0,1.0,5.4,70.0,1.0
8.0,12.0,98.1,5.0,95.0,0.0,8.0,74.0,0.0
5.0,22.0,98.3,0.0,98.0,0.0,4.3,60.0,0.0
3.0,16.0,98.3,3.0,96.0,1.0,6.8,90.0,1.0
4.0,17.0,98.8,1.0,100.0,1.0,7.2,76.0,0.0
4.0,17.0,98.7,4.0,97.0,1.0,6.3,88.0,0.0
1.0,22.0,98.3,9.0,94.0,1.0,6.6,93.0,0.0
0.0,25.0,97.3,9.0,92.0,0.0,6.2,93.0,0.0
10.0,12.0,97.8,10.0,90.0,0.0,5.1,74.0,1.0
8.0,25.0,98.6,9.0,93.0,0.0,4.5,97.0,1.0
3.0,17.0,98.4,0.0,92.0,0.0,8.9,67.0,0.0
2.0,21.0,97.4,4.0,97.0,1.0,6.3,89.0,0.0
0.0,17.0,98.0,3.0,92.0,0.0,5.1,78.0,1.0
5.0,19.0,99.0,3.0,97.0,1.0,8.3,78.0,0.0
9.0,22.0,98.5,5.0,95.0,0.0,8.9,93.0,0.0
4.0,23.0,97.9,7.0,98.0,1.0,7.7,89.0,0.0
3.0,16.0,98.0,3.0,93.0,0.0,5.7,87.0,0.0
6.0,25.0,98.8,8.0,93.0,0.0,7.1,95.0,0.0
9.0,13.0,97.1,7.0,93.0,1.0,4.4,89.0,0.0
10.0,20.0,97.9,7.0,97.0,1.0,5.5,61.0,1.0
4.0,18.0,97.9,0.0,99.0,0.0,4.8,62.0,0.0
7.0,13.0,97.3,10.0,98.0,1.0,10.0,70.0,1.0
10.0,24.0,97.4,1.0,95.0,1.0,8.3,86.0,0.0
8.0,20.0,97.7,0.0,96.0,1.0,9.3,80.0,0.0
4.0,17.0,98.2,3.0,99.0,1.0,8.7,79.0,0.0
4.0,19.0,98.1,2.0,97.0,0.0,6.4,77.0,1.0
3.0,18.0,98.3,9.0,93.0,1.0,6.3,61.0,1.0
8.0,22.0,97.7,10.0,91.0,0.0,8.3,71.0,0.0
3.0,22.0,98.5,10.0,92.0,0.0,8.7,89.0,0.0
1.0,14.0,97.7,10.0,98.0,1.0,8.4,71.0,1.0
1.0,22.0,98.1,4.0,93.0,0.0,9.6,91.0,1.0
3.0,15.0,97.6,6.0,92.0,0.0,9.8,82.0,0.0
6.0,23.0,98.6,7.0,96.0,1.0,4.0,82.0,1.0
2.0,13.0,98.8,9.0,99.0,0.0,4.2,99.0,0.0
1.0,12.0,98.5,3.0,91.0,1.0,7.3,95.0,1.0
3.0,14.0,97.2,5.0,95.0,0.0,9.9,91.0,1.0
8.0,17.0,98.4,10.0,94.0,0.0,5.5,76.0,1.0
5.0,16.0,98.4,8.0,91.0,0.0,7.4,72.0,1.0
9.0,17.0,98.7,0.0,100.0,1.0,9.1,75.0,0.0
3.0,12.0,98.7,0.0,94.0,0.0,7.2,61.0,0.0
8.0,18.0,97.2,9.0,96.0,0.0,5.2,61.0,1.0
9.0,19.0,97.7,4.0,98.0,1.0,7.7,72.0,1.0
2.0,13.0,98.3,9.0,96.0,1.0,4.1,69.0,0.0
4.0,22.0,98.5,10.0,97.0,1.0,4.6,82.0,1.0
8.0,14.0,97.7,9.0,98.0,1.0,5.3,79.0,1.0
0.0,18.0,98.2,9.0,100.0,1.0,7.3,92.0,1.0
4.0,18.0,97.9,10.0,95.0,1.0,6.6,76.0,0.0
4.0,15.0,97.4,8.0,97.0,0.0,5.0,65.0,1.0
10.0,14.0,98.1,6.0,90.0,1.0,7.1,62.0,1.0
8.0,23.0,97.4,0.0,98.0,1.0,7.2,74.0,1.0
7.0,18.0,98.1,2.0,96.0,1.0,5.8,93.0,1.0
5.0,22.0,97.1,8.0,96.0,0.0,9.0,70.0,1.0
7.0,23.0,97.3,10.0,91.0,1.0,9.2,79.0,0.0
1.0,14.0,97.8,1.0,95.0,0.0,8.7,73.0,0.0
8.0,19.0,98.1,9.0,99.0,1.0,7.4,89.0,0.0
0.0,16.0,97.2,6.0,91.0,1.0,9.0,91.0,1.0
3.0,14.0,98.3,1.0,94.0,0.0,6.6,89.0,1.0
1.0,21.0,97.5,1.0,95.0,0.0,7.7,76.0,0.0
5.0,24.0,97.4,7.0,96.0,1.0,8.2,100.0,0.0
0.0,21.0,98.4,6.0,98.0,0.0,4.6,70.0,1.0
10.0,23.0,99.0,5.0,98.0,0.0,5.9,61.0,0.0
10.0,16.0,97.2,5.0,90.0,0.0,7.3,99.0,1.0
3.0,25.0,98.6,4.0,92.0,0.0,7.9,71.0,0.0
6.0,23.0,98.1,5.0,100.0,0.0,7.7,63.0,0.0
5.0,24.0,97.2,2.0,94.0,1.0,8.8,83.0,0.0
3.0,12.0,97.6,4.0,100.0,1.0,9.9,86.0,0.0
10.0,20.0,97.4,5.0,91.0,0.0,7.2,96.0,0.0
5.0,22.0,97.3,7.0,95.0,0.0,8.6,88.0,1.0
3.0,15.0,98.9,3.0,92.0,1.0,8.0,83.0,1.0
3.0,18.0,98.2,0.0,90.0,1.0,7.9,86.0,1.0
2.0,24.0,98.8,6.0,95.0,0.0,8.9,88.0,1.0
1.0,23.0,98.4,8.0,92.0,1.0,6.3,78.0,1.0
1.0,14.0,98.7,4.0,92.0,0.0,7.1,96.0,1.0
7.0,23.0,97.5,4.0,96.0,0.0,9.6,64.0,0.0
7.0,12.0,98.4,10.0,98.0,0.0,9.5,75.0,0.0
3.0,16.0,98.5,1.0,92.0,1.0,8.7,62.0,0.0
0.0,19.0,98.9,9.0,97.0,0.0,5.1,90.0,1.0
7.0,21.0,98.5,10.0,97.0,0.0,9.3,64.0,1.0
3.0,20.0,98.3,6.0,99.0,1.0,4.6,93.0,1.0
10.0,15.0,98.7,7.0,97.0,1.0,4.8,85.0,0.0
8.0,12.0,98.0,6.0,98.0,1.0,6.2,73.0,1.0
5.0,14.0,98.1,1.0,98.0,1.0,4.9,90.0,0.0
2.0,24.0,97.4,3.0,95.0,0.0,9.1,67.0,0.0
0.0,19.0,97.6,9.0,94.0,0.0,8.4,76.0,1.0
4.0,19.0,97.0,5.0,97.0,1.0,5.9,91.0,1.0
10.0,25.0,97.6,5.0,94.0,1.0,8.8,93.0,0.0
5.0,23.0,98.2,4.0,97.0,0.0,4.0,70.0,1.0
0.0,16.0,97.9,4.0,100.0,0.0,5.9,62.0,0.0
3.0,19.0,97.2,0.0,91.0,0.0,6.9,83.0,1.0
1.0,19.0,98.9,6.0,92.0,1.0,6.6,87.0,1.0
2.0,20.0,98.3,8.0,90.0,1.0,6.9,60.0,1.0
4.0,22.0,98.6,6.0,91.0,0.0,8.2,90.0,1.0
10.0,13.0,97.1,3.0,100.0,1.0,9.9,75.0,0.0
8.0,19.0,98.2,7.0,92.0,1.0,9.2,71.0,0.0
3.0,22.0,98.9,0.0,99.0,0.0,8.8,84.0,1.0
3.0,12.0,98.8,7.0,97.0,0.0,9.9,88.0,1.0
9.0,19.0,98.2,7.0,93.0,0.0,8.1,84.0,0.0
4.0,21.0,97.0,9.0,92.0,1.0,9.8,83.0,0.0
5.0,18.0,97.5,0.0,92.0,1.0,7.9,81.0,1.0
3.0,22.0,97.9,8.0,98.0,0.0,7.3,84.0,0.0
10.0,24.0,97.0,4.0,94.0,0.0,6.5,98.0,1.0
10.0,18.0,98.8,6.0,99.0,1.0,9.5,67.0,1.0
3.0,20.0,98.2,1.0,98.0,0.0,5.3,91.0,1.0
7.0,23.0,97.8,6.0,96.0,1.0,6.7,90.0,1.0
5.0,15.0,97.2,0.0,97.0,0.0,4.8,94.0,0.0
4.0,20.0,98.2,4.0,97.0,0.0,4.5,100.0,1.0
0.0,18.0,98.9,5.0,98.0,1.0,8.6,68.0,1.0
1.0,21.0,97.0,0.0,94.0,0.0,8.1,74.0,0.0
9.0,22.0,98.4,8.0,91.0,1.0,6.8,73.0,1.0
1.0,17.0,97.1,4.0,93.0,0.0,5.2,100.0,0.0
2.0,15.0,97.9,0.0,98.0,0.0,5.8,80.0,1.0
4.0,18.0,98.3,8.0,99.0,0.0,7.1,68.0,0.0
2.0,19.0,98.9,2.0,93.0,0.0,6.3,79.0,0.0
4.0,25.0,98.5,0.0,100.0,0.0,4.4,81.0,0.0
2.0,22.0,98.4,0.0,99.0,1.0,4.3,97.0,1.0
1.0,14.0,97.7,2.0,94.0,1.0,5.5,72.0,0.0
2.0,24.0,97.9,8.0,98.0,0.0,6.8,77.0,0.0
6.0,25.0,97.2,3.0,100.0,1.0,4.5,70.0,1.0
10.0,15.0,97.2,0.0,94.0,0.0,8.4,90.0,1.0
5.0,20.0,98.7,2.0,90.0,0.0,5.4,95.0,0.0
1.0,13.0,97.2,10.0,100.0,1.0,6.5,71.0,1.0
0.0,16.0,97.0,5.0,93.0,1.0,9.4,75.0,0.0
9.0,12.0,98.0,10.0,99.0,0.0,6.9,91.0,1.0
2.0,24.0,97.5,1.0,92.0,1.0,7.3,74.0,1.0
9.0,16.0,97.6,2.0,98.0,1.0,5.6,88.0,0.0
1.0,12.0,98.3,3.0,99.0,0.0,9.5,99.0,0.0
5.0,20.0,97.7,6.0,95.0,1.0,9.3,61.0,0.0
7.0,18.0,97.6,3.0,90.0,1.0,7.0,83.0,1.0
10.0,19.0,97.4,9.0,100.0,0.0,8.5,90.0,0.0
1.0,23.0,97.8,8.0,99.0,0.0,9.9,100.0,1.0
6.0,14.0,97.6,5.0,97.0,0.0,6.1,70.0,0.0
1.0,22.0,97.9,5.0,98.0,1.0,9.8,79.0,1.0
2.0,24.0,98.2,4.0,96.0,1.0,8.0,83.0,0.0
1.0,16.0,98.8,5.0,98.0,0.0,8.1,65.0,0.0
10.0,13.0,98.3,10.0,93.0,1.0,7.1,68.0,1.0
2.0,13.0,97.5,1.0,100.0,0.0,8.9,68.0,1.0
8.0,15.0,97.1,5.0,95.0,1.0,5.2,82.0,1.0
1.0,15.0,98.7,6.0,98.0,0.0,4.4,73.0,1.0
6.0,12.0,98.4,0.0,95.0,0.0,9.0,89.0,1.0
0.0,22.0,98.7,9.0,90.0,0.0,9.2,67.0,1.0
1.0,15.0,98.7,5.0,97.0,0.0,4.4,76.0,1.0
8.0,20.0,98.5,2.0,90.0,0.0,8.8,61.0,1.0
2.0,18.0,98.6,6.0,90.0,0.0,9.1,99.0,0.0
3.0,25.0,98.3,5.0,98.0,1.0,7.7,88.0,1.0
1.0,13.0,97.5,10.0,96.0,0.0,6.3,95.0,1.0
7.0,23.0,97.9,10.0,98.0,1.0,8.6,67.0,1.0
10.0,22.0,98.5,5.0,98.0,0.0,4.6,67.0,0.0
5.0,20.0,98.2,5.0,96.0,0.0,4.1,77.0,1.0
2.0,15.0,97.9,1.0,100.0,0.0,8.8,72.0,0.0
1.0,17.0,97.9,7.0,99.0,0.0,9.3,90.0,1.0
4.0,16.0,98.5,1.0,98.0,1.0,4.4,63.0,0.0
2.0,16.0,98.6,10.0,96.0,1.0,6.7,78.0,1.0
5.0,21.0,98.3,6.0,97.0,1.0,5.8,61.0,1.0
0.0,23.0,97.9,6.0,96.0,1.0,5.9,69.0,1.0
8.0,16.0,97.9,6.0,94.0,1.0,5.5,87.0,1.0
5.0,22.0,98.9,8.0,91.0,1.0,7.5,94.0,1.0
2.0,14.0,98.4,0.0,90.0,0.0,5.6,95.0,0.0
7.0,16.0,97.1,1.0,99.0,1.0,5.2,88.0,0.0
7.0,24.0,97.5,4.0,99.0,0.0,5.9,68.0,1.0
5.0,18.0,98.1,0.0,92.0,1.0,5.7,72.0,0.0
5.0,23.0,98.3,9.0,91.0,0.0,6.5,83.0,0.0
6.0,18.0,97.0,3.0,95.0,1.0,7.2,78.0,0.0
5.0,21.0,97.7,5.0,95.0,1.0,5.6,82.0,0.0
2.0,18.0,97.8,8.0,91.0,1.0,4.3,79.0,0.0
9.0,14.0,97.8,2.0,97.0,0.0,8.5,75.0,1.0
5.0,22.0,97.6,6.0,100.0,0.0,7.7,72.0,1.0
6.0,24.0,97.9,3.0,92.0,1.0,7.6,80.0,0.0
3.0,22.0,98.2,3.0,99.0,1.0,9.0,70.0,1.0
1.0,14.0,98.1,9.0,93.0,0.0,7.3,84.0,1.0
8.0,16.0,98.4,3.0,98.0,0.0,8.0,72.0,0.0
5.0,24.0,98.3,6.0,94.0,1.0,6.9,64.0,1.0
1.0,16.0,97.1,3.0,95.0,0.0,9.0,90.0,0.0
8.0,17.0,97.8,10.0,90.0,0.0,7.6,76.0,0.0
3.0,25.0,98.2,6.0,97.0,1.0,7.9,63.0,1.0
5.0,18.0,97.6,3.0,90.0,1.0,9.9,64.0,0.0
5.0,20.0,97.0,9.0,90.0,1.0,8.3,77.0,0.0
5.0,18.0,97.4,2.0,99.0,1.0,9.8,84.0,1.0
3.0,15.0,97.3,1.0,91.0,0.0,5.7,60.0,1.0
3.0,20.0,98.8,5.0,92.0,0.0,7.5,79.0,0.0
6.0,24.0,98.3,0.0,91.0,1.0,6.2,87.0,1.0
10.0,20.0,97.7,4.0,95.0,0.0,7.5,82.0,0.0
2.0,19.0,97.7,7.0,99.0,1.0,5.2,75.0,0.0
4.0,23.0,97.5,0.0,94.0,0.0,5.1,74.0,0.0
2.0,16.0,97.3,3.0,100.0,0.0,7.3,74.0,0.0
2.0,14.0,98.9,5.0,98.0,0.0,7.9,60.0,1.0
10.0,19.0,97.2,5.0,93.0,0.0,7.4,91.0,1.0
10.0,22.0,97.2,2.0,98.0,0.0,9.0,65.0,0.0
10.0,14.0,98.4,9.0,91.0,1.0,9.7,78.0,1.0
10.0,25.0,97.2,7.0,94.0,0.0,6.6,96.0,1.0
10.0,21.0,98.0,5.0,97.0,1.0,8.5,64.0,1.0
3.0,12.0,97.2,6.0,92.0,1.0,9.2,90.0,1.0
2.0,17.0,98.3,1.0,97.0,1.0,7.7,75.0,1.0
2.0,22.0,97.3,8.0,99.0,0.0,6.9,80.0,0.0
7.0,16.0,97.9,5.0,92.0,1.0,6.4,81.0,0.0
3.0,14.0,97.8,0.0,92.0,1.0,6.5,95.0,0.0
3.0,20.0,98.0,1.0,99.0,1.0,5.6,94.0,1.0
10.0,16.0,97.1,6.0,100.0,0.0,9.8,96.0,0.0
3.0,22.0,97.9,9.0,98.0,1.0,7.9,88.0,1.0
8.0,25.0,97.5,3.0,96.0,1.0,7.5,60.0,0.0
8.0,20.0,97.9,6.0,100.0,1.0,4.3,89.0,0.0
9.0,14.0,97.5,6.0,91.0,0.0,7.9,62.0,0.0
1.0,14.0,98.6,10.0,94.0,1.0,5.6,85.0,0.0
6.0,19.0,98.7,9.0,93.0,1.0,6.4,96.0,1.0
9.0,19.0,98.3,7.0,92.0,0.0,4.5,78.0,0.0
4.0,22.0,97.7,3.0,92.0,0.0,4.7,78.0,0.0
5.0,21.0,98.1,7.0,92.0,0.0,9.1,68.0,1.0
5.0,20.0,98.7,1.0,100.0,1.0,6.4,86.0,1.0
7.0,19.0,97.8,4.0,95.0,1.0,5.0,73.0,1.0
10.0,12.0,97.8,8.0,92.0,0.0,6.8,88.0,0.0
7.0,15.0,97.4,4.0,98.0,0.0,5.5,78.0,1.0
1.0,22.0,97.7,9.0,100.0,1.0,8.6,62.0,0.0
9.0,24.0,98.9,1.0,95.0,0.0,7.0,67.0,1.0
9.0,20.0,98.3,10.0,90.0,1.0,6.4,71.0,1.0
3.0,17.0,97.8,10.0,90.0,1.0,9.3,97.0,1.0
2.0,19.0,98.7,5.0,93.0,1.0,7.4,91.0,1.0
0.0,17.0,98.0,6.0,92.0,0.0,9.9,79.0,1.0
10.0,20.0,98.3,5.0,94.0,0.0,5.7,66.0,1.0
7.0,25.0,97.1,3.0,92.0,1.0,9.7,84.0,1.0
8.0,13.0,98.5,10.0,99.0,1.0,6.6,75.0,1.0
4.0,20.0,97.3,5.0,93.0,1.0,7.6,83.0,0.0
5.0,21.0,97.1,7.0,96.0,1.0,5.4,64.0,0.0
9.0,22.0,98.7,7.0,91.0,0.0,5.5,72.0,0.0
8.0,25.0,98.9,4.0,93.0,0.0,7.0,100.0,0.0
7.0,12.0,97.4,2.0,99.0,0.0,6.7,63.0,1.0
7.0,20.0,97.4,2.0,96.0,0.0,8.6,83.0,0.0
8.0,14.0,99.0,3.0,91.0,0.0,9.7,78.0,1.0
2.0,24.0,97.1,0.0,99.0,0.0,8.1,75.0,0.0
4.0,20.0,98.7,7.0,98.0,0.0,6.8,89.0,0.0
2.0,24.0,97.5,1.0,95.0,1.0,7.3,65.0,1.0
2.0,18.0,98.5,3.0,97.0,1.0,7.3,84.0,1.0
4.0,17.0,98.8,10.0,92.0,1.0,4.5,62.0,1.0
3.0,25.0,98.0,4.0,93.0,0.0,5.3,86.0,0.0
2.0,19.0,97.1,1.0,99.0,1.0,9.6,76.0,1.0
1.0,23.0,99.0,10.0,93.0,1.0,8.1,99.0,1.0
0.0,15.0,97.0,8.0,96.0,0.0,8.6,60.0,0.0
10.0,21.0,98.2,7.0,93.0,0.0,6.4,94.0,0.0
4.0,21.0,97.4,5.0,93.0,0.0,6.1,91.0,1.0
